Vuosi,Kk,Pv,Klo,Aikavyöhyke,Kokonaissäteily (W/m2)
2021,4,13,00:00,UTC,-1
2021,4,13,01:00,UTC,-0.4
2021,4,13,02:00,UTC,-1.4
2021,4,13,03:00,UTC,-0.1
2021,4,13,04:00,UTC,32.4
2021,4,13,05:00,UTC,27.2
2021,4,13,06:00,UTC,106.2
2021,4,13,07:00,UTC,82.6
2021,4,13,08:00,UTC,127.1
2021,4,13,09:00,UTC,675.2
2021,4,13,10:00,UTC,428.7
2021,4,13,11:00,UTC,198.7
2021,4,13,12:00,UTC,237
2021,4,13,13:00,UTC,390.8
2021,4,13,14:00,UTC,170
2021,4,13,15:00,UTC,203.2
2021,4,13,16:00,UTC,137.2
2021,4,13,17:00,UTC,12
2021,4,13,18:00,UTC,-1.2
2021,4,13,19:00,UTC,-1.3
2021,4,13,20:00,UTC,-1.5
2021,4,13,21:00,UTC,-1.1
2021,4,13,22:00,UTC,-1.2
2021,4,13,23:00,UTC,-1.5
2021,4,14,00:00,UTC,-2.3
